datetime,datetime,timestamp,current,voltage,soc,temperature
59:21.8,59:21.8,1.68421E+12,-2.79,326.72,39.53,19.11
59:21.9,59:21.9,1.68421E+12,-2.79,326.72,39.53,19.11
59:22.0,59:22.0,1.68421E+12,-2.79,326.72,39.53,19.11
59:22.2,59:22.2,1.68421E+12,-2.79,326.72,39.53,19.11
59:22.3,59:22.3,1.68421E+12,-2.61,326.72,39.53,19.11
59:22.4,59:22.4,1.68421E+12,-2.61,326.78,39.53,19.11
59:22.5,59:22.5,1.68421E+12,-2.61,326.78,39.53,19.11
59:22.6,59:22.6,1.68421E+12,-2.61,326.78,39.53,19.11
59:22.7,59:22.7,1.68421E+12,-2.61,326.78,39.53,19.11
11:57.4,11:57.4,1.68421E+12,48.22,331.56,42.63,19.84
11:57.5,11:57.5,1.68421E+12,48.22,331.56,42.63,19.84
11:57.6,11:57.6,1.68421E+12,48.22,331.56,42.63,19.84
11:57.7,11:57.7,1.68421E+12,48.22,331.56,42.64,19.84
